frame,lat,lon,ele,incline
338,33.998403,-81.006182,86.0,1.85
339,33.998403,-81.006182,86.0,1.85
340,33.998403,-81.006182,86.0,1.85
341,33.998403,-81.006182,86.0,1.85
342,33.998403,-81.006182,86.0,1.85
343,33.998403,-81.006182,86.0,1.85
344,33.998403,-81.006182,86.0,1.85
345,33.998403,-81.006182,86.0,1.85
346,33.998403,-81.006182,86.0,1.85
347,33.998403,-81.006182,86.0,1.85
348,33.998403,-81.006182,86.0,1.85
349,33.998403,-81.006182,86.0,1.85
350,33.998403,-81.006182,86.0,1.85
351,33.998403,-81.006182,86.0,1.85
352,33.998403,-81.006182,86.0,1.85
353,33.998403,-81.006182,86.0,1.85
354,33.998403,-81.006182,86.0,1.85
355,33.998403,-81.006182,86.0,1.85
356,33.998403,-81.006182,86.0,1.85
357,33.998403,-81.006182,86.0,1.85
358,33.998403,-81.006182,86.0,1.85
359,33.998403,-81.006182,86.0,1.85
360,33.998403,-81.006182,86.0,1.85
361,33.998403,-81.006182,86.0,1.85
362,33.998403,-81.006182,86.0,1.85
363,33.998403,-81.006182,86.0,1.85
364,33.998403,-81.006182,86.0,1.85
365,33.998403,-81.006182,86.0,1.85
366,33.998402,-81.006125,86.1,1.85
367,33.998402,-81.006125,86.1,1.85
368,33.998402,-81.006125,86.1,1.85
369,33.998402,-81.006125,86.1,1.85
370,33.998402,-81.006125,86.1,1.85
371,33.998402,-81.006125,86.1,1.85
372,33.998402,-81.006125,86.1,1.85
373,33.998402,-81.006125,86.1,1.85
374,33.998402,-81.006125,86.1,1.85
375,33.998402,-81.006125,86.1,1.85
376,33.998402,-81.006125,86.1,1.85
377,33.998402,-81.006125,86.1,1.85
378,33.998402,-81.006125,86.1,1.85
379,33.998402,-81.006125,86.1,1.85
380,33.998402,-81.006125,86.1,1.85
381,33.998402,-81.006125,86.1,1.85
382,33.998402,-81.006125,86.1,1.85
383,33.998402,-81.006125,86.1,1.85
384,33.998402,-81.006125,86.1,1.85
385,33.998402,-81.006125,86.1,1.85
386,33.998402,-81.006125,86.1,1.85
387,33.998402,-81.006125,86.1,1.85
388,33.998402,-81.006125,86.1,1.85
389,33.998402,-81.006125,86.1,1.85
390,33.998402,-81.006125,86.1,1.85
391,33.998402,-81.006125,86.1,1.85
392,33.998402,-81.006125,86.1,1.85
393,33.998402,-81.006125,86.1,1.85
394,33.998402,-81.006125,86.1,1.85
395,33.998402,-81.006125,86.1,1.85
396,33.998402,-81.006125,86.1,1.85
397,33.998402,-81.006125,86.1,1.85
398,33.998402,-81.006125,86.1,1.85
399,33.998402,-81.006125,86.1,1.85
400,33.998402,-81.006125,86.1,1.85
401,33.998402,-81.006125,86.1,1.85
402,33.998402,-81.006125,86.1,1.85
403,33.998402,-81.006125,86.1,1.85
404,33.998402,-81.006125,86.1,1.85
405,33.998402,-81.006125,86.1,1.85
406,33.998402,-81.006125,86.1,1.85
407,33.998402,-81.006125,86.1,1.85
408,33.998402,-81.006125,86.1,1.85
409,33.998402,-81.006125,86.1,1.85
410,33.998402,-81.006125,86.1,1.85
411,33.998402,-81.006125,86.1,1.85
412,33.998402,-81.006125,86.1,1.85
413,33.998402,-81.006125,86.1,1.85
414,33.998399,-81.006065,86.2,1.24
415,33.998399,-81.006065,86.2,1.24
416,33.998399,-81.006065,86.2,1.24
417,33.998399,-81.006065,86.2,1.24
418,33.998399,-81.006065,86.2,1.24
419,33.998399,-81.006065,86.2,1.24
420,33.998399,-81.006065,86.2,1.24
421,33.998399,-81.006065,86.2,1.24
422,33.998399,-81.006065,86.2,1.24
423,33.998399,-81.006065,86.2,1.24
424,33.998399,-81.006065,86.2,1.24
425,33.998399,-81.006065,86.2,1.24
426,33.998399,-81.006065,86.2,1.24
427,33.998399,-81.006065,86.2,1.24
428,33.998399,-81.006065,86.2,1.24
429,33.998399,-81.006065,86.2,1.24
430,33.998399,-81.006065,86.2,1.24
431,33.998399,-81.006065,86.2,1.24
432,33.998399,-81.006065,86.2,1.24
433,33.998399,-81.006065,86.2,1.24
434,33.998399,-81.006065,86.2,1.24
435,33.998399,-81.006065,86.2,1.24
436,33.998399,-81.006065,86.2,1.24
437,33.998399,-81.006065,86.2,1.24
438,33.998399,-81.006065,86.2,1.24
439,33.998399,-81.006065,86.2,1.24
440,33.998399,-81.006065,86.2,1.24
441,33.998399,-81.006065,86.2,1.24
442,33.998399,-81.006065,86.2,1.24
443,33.998399,-81.006065,86.2,1.24
444,33.998399,-81.006065,86.2,1.24
445,33.998399,-81.006065,86.2,1.24
446,33.998399,-81.006065,86.2,1.24
447,33.998399,-81.006065,86.2,1.24
448,33.998399,-81.006065,86.2,1.24
449,33.998399,-81.006065,86.2,1.24
450,33.998399,-81.006065,86.2,1.24
451,33.998399,-81.006065,86.2,1.24
452,33.998399,-81.006065,86.2,1.24
453,33.998399,-81.006065,86.2,1.24
454,33.998399,-81.006065,86.2,1.24
455,33.998399,-81.006065,86.2,1.24
456,33.998399,-81.006065,86.2,1.24
457,33.998399,-81.006065,86.2,1.24
458,33.998399,-81.006065,86.2,1.24
459,33.998399,-81.006065,86.2,1.24
460,33.998399,-81.006065,86.2,1.24
461,33.998399,-81.006065,86.2,1.24
462,33.998399,-81.006065,86.2,1.24
463,33.998399,-81.006012,86.2,1.27
464,33.998399,-81.006012,86.2,1.27
465,33.998399,-81.006012,86.2,1.27
466,33.998399,-81.006012,86.2,1.27
467,33.998399,-81.006012,86.2,1.27
468,33.998399,-81.006012,86.2,1.27
469,33.998399,-81.006012,86.2,1.27
470,33.998399,-81.006012,86.2,1.27
471,33.998399,-81.006012,86.2,1.27
472,33.998399,-81.006012,86.2,1.27
473,33.998399,-81.006012,86.2,1.27
474,33.998399,-81.006012,86.2,1.27
475,33.998399,-81.006012,86.2,1.27
476,33.998399,-81.006012,86.2,1.27
477,33.998399,-81.006012,86.2,1.27
478,33.998399,-81.006012,86.2,1.27
479,33.998399,-81.006012,86.2,1.27
480,33.998399,-81.006012,86.2,1.27
481,33.998399,-81.006012,86.2,1.27
482,33.998399,-81.006012,86.2,1.27
483,33.998399,-81.006012,86.2,1.27
484,33.998399,-81.006012,86.2,1.27
485,33.998399,-81.006012,86.2,1.27
486,33.998399,-81.006012,86.2,1.27
487,33.998399,-81.006012,86.2,1.27
488,33.998399,-81.006012,86.2,1.27
489,33.998399,-81.006012,86.2,1.27
490,33.998399,-81.006012,86.2,1.27
491,33.998399,-81.006012,86.2,1.27
492,33.998399,-81.006012,86.2,1.27
493,33.998399,-81.006012,86.2,1.27
494,33.998399,-81.006012,86.2,1.27
495,33.998399,-81.006012,86.2,1.27
496,33.998399,-81.006012,86.2,1.27
497,33.998399,-81.006012,86.2,1.27
498,33.998399,-81.006012,86.2,1.27
499,33.998399,-81.006012,86.2,1.27
500,33.998399,-81.006012,86.2,1.27
501,33.998399,-81.006012,86.2,1.27
502,33.998399,-81.006012,86.2,1.27
503,33.998399,-81.006012,86.2,1.27
504,33.998399,-81.006012,86.2,1.27
505,33.998399,-81.006012,86.2,1.27
506,33.998399,-81.006012,86.2,1.27
507,33.998399,-81.006012,86.2,1.27
508,33.998399,-81.006012,86.2,1.27
509,33.998399,-81.006012,86.2,1.27
510,33.998399,-81.006012,86.2,1.27
511,33.998399,-81.006012,86.2,1.27
512,33.998397,-81.005958,86.3,1.35
513,33.998397,-81.005958,86.3,1.35
514,33.998397,-81.005958,86.3,1.35
515,33.998397,-81.005958,86.3,1.35
516,33.998397,-81.005958,86.3,1.35
517,33.998397,-81.005958,86.3,1.35
518,33.998397,-81.005958,86.3,1.35
519,33.998397,-81.005958,86.3,1.35
520,33.998397,-81.005958,86.3,1.35
521,33.998397,-81.005958,86.3,1.35
522,33.998397,-81.005958,86.3,1.35
523,33.998397,-81.005958,86.3,1.35
524,33.998397,-81.005958,86.3,1.35
525,33.998397,-81.005958,86.3,1.35
526,33.998397,-81.005958,86.3,1.35
527,33.998397,-81.005958,86.3,1.35
528,33.998397,-81.005958,86.3,1.35
529,33.998397,-81.005958,86.3,1.35
530,33.998397,-81.005958,86.3,1.35
531,33.998397,-81.005958,86.3,1.35
532,33.998397,-81.005958,86.3,1.35
533,33.998397,-81.005958,86.3,1.35
534,33.998397,-81.005958,86.3,1.35
535,33.998397,-81.005958,86.3,1.35
536,33.998397,-81.005958,86.3,1.35
537,33.998397,-81.005958,86.3,1.35
538,33.998397,-81.005958,86.3,1.35
539,33.998397,-81.005958,86.3,1.35
540,33.998397,-81.005958,86.3,1.35
541,33.998397,-81.005958,86.3,1.35
542,33.998397,-81.005958,86.3,1.35
543,33.998397,-81.005958,86.3,1.35
544,33.998397,-81.005958,86.3,1.35
545,33.998397,-81.005958,86.3,1.35
546,33.998397,-81.005958,86.3,1.35
547,33.998397,-81.005958,86.3,1.35
548,33.998397,-81.005958,86.3,1.35
549,33.998397,-81.005958,86.3,1.35
550,33.998397,-81.005958,86.3,1.35
551,33.998397,-81.005958,86.3,1.35
552,33.998397,-81.005958,86.3,1.35
553,33.998397,-81.005958,86.3,1.35
554,33.998397,-81.005958,86.3,1.35
555,33.998397,-81.005958,86.3,1.35
556,33.998397,-81.005958,86.3,1.35
557,33.998397,-81.005958,86.3,1.35
558,33.998397,-81.005958,86.3,1.35
559,33.998397,-81.005958,86.3,1.35
560,33.998394,-81.005905,86.4,1.35
561,33.998394,-81.005905,86.4,1.35
562,33.998394,-81.005905,86.4,1.35
563,33.998394,-81.005905,86.4,1.35
564,33.998394,-81.005905,86.4,1.35
565,33.998394,-81.005905,86.4,1.35
566,33.998394,-81.005905,86.4,1.35
567,33.998394,-81.005905,86.4,1.35
568,33.998394,-81.005905,86.4,1.35
569,33.998394,-81.005905,86.4,1.35
570,33.998394,-81.005905,86.4,1.35
571,33.998394,-81.005905,86.4,1.35
572,33.998394,-81.005905,86.4,1.35
573,33.998394,-81.005905,86.4,1.35
574,33.998394,-81.005905,86.4,1.35
575,33.998394,-81.005905,86.4,1.35
576,33.998394,-81.005905,86.4,1.35
